"knowledge"	"civic"	"tcga_cancer"	"Report"	"GENIE"	"Shiny"
"lung_adeno"	"Bronchogenic Lung Adenocarcinoma,Lung Acinar Adenocarcinoma,Lung Adenocarcinoma,Lung Carcinoma,Lung Cancer,Non-small Cell Lung Carcinoma"	"LUAD"	"lung (adeno)"	"Non-Small Cell Lung Cancer"	"lung adeno."
"lung_squamous"	"Lung Carcinoma,Lung Cancer,Lung Squamous Cell Carcinoma,Non-small Cell Lung Carcinoma"	"LUSC"	"lung (squa.)"	"Non-Small Cell Lung Cancer"	"lung squa."
"lymphangioleiomyomatosis"			"lymphangio-leiomyomatosis"		"lymphangio-leiomyomatosis"
"lymphoma"	"Hematologic Cancer,Anaplastic Large Cell Lymphoma"		"anaplast. Large-cell lymph."	"Non-Hodgkin Lymphoma"	"lymphoma large cell anaplastic"
"lymphoma"	"Hematologic Cancer"	"DLBC"	"large B cell lymph."	"Non-Hodgkin Lymphoma"	"lymphoma large B cell"
"lymphoma"	"Hematologic Cancer"		"lymphoma"	"Hodgkin Lymphoma,Non-Hodgkin Lymphoma"	"lymphoma"
"malignant_peripheral_nerve_sheat_tumor, leukemia"	"Malignant Peripheral Nerve Sheath Tumor"		"neurosarcoma"		"neurosarcoma"
"malignant_rhabdoid_tumor"	"Rhabdoid Cancer"		"rhabdoid"		"rhabdoid tumor"
"mantle_cell_lymphoma,Mantle Cell Lymphoma"	"Hematologic Cancer"		"mantle cell lymphoma"	"Non-Hodgkin Lymphoma"	"mantle cell lymphoma"
"medulloblastoma"	"Brain Medulloblastoma"		"medulloblastoma"	"CNS Cancer"	"medulloblastoma"
"megakaryoblastic_leukemia"			"megakaryo. Leuk."	"Leukemia"	"megakaryoblastic leukemia"
"melanoma"	"Melanoma,Skin Melanoma"	"SKCM"	"melanoma"	"Melanoma"	"melanoma"
"melanoma"	"Melanoma,Uveal Melanoma"	"UVM"	"melanoma"	"Melanoma"	"melanoma"
"melanoma"	"Mucosal Melanoma"		"melanoma"	"Melanoma"	"melanoma"
"meningioma, PEComa"			"meningioma"	"CNS Cancer"	"meningioma"
"mesothelioma"	"Malignant Mesothelioma,Malignant Pleural Mesothelioma,Peritoneal Mesothelioma"	"MESO"	"mesothelioma"	"Mesothelioma"	"mesothelioma"
"myelofibrosis"	"Myelofibrosis,Chronic Myeloproliferative Disease,Hematologic Cancer"		"myelofibrosis"		"myelofibrosis"
"myeloma"	"Hematologic Cancer"		"myeloma"	"Multiple Myeloma"	"myeloma"
"myeloproliferative_neoplasm"	"Chronic Myeloproliferative Disease,Hematologic Cancer"		"MPN"	"Myeloproliferative Neoplasm"	"myeloproliferative neoplasm"
"myelodisplastic_syndrome"	"Hematologic Cancer"		"MDS"	"Myelodysplasia"	"myelodisplastic syndrome"
"neuroblastoma"	"Neuroblastoma"		"neuroblastoma"		"neuroblastoma"
"NUT_midline_carcinoma"	"NUT Midline Carcinoma"		"NUT carcinoma"		"NUT carcinoma"
"ovarian"	"Epithelial Ovarian Cancer,Ovarian Cancer,Ovarian Carcinoma,Ovarian Granulosa Cell Tumor,Ovarian Serous Carcinoma,Ovarian Serous Cystadenocarcinoma,Female Reproductive Organ Cancer,Ovarian Serous Cystadenocarcinoma"	"OV"	"ovarian"	"Ovarian Cancer"	"ovarian cancer"
"ovarian_rhabdoid_tumor"	"Rhabdoid Cancer"		"ovarian rhabdoid"	"Ovarian Cancer"	"rhabdoid tumor"
"pancreatic"	"Pancreas Adenocarcinoma,Pancreatic Carcinoma,Pancreatic Ductal Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreatic Ductal Carcinoma,Tumor Of Exocrine Pancreas"	"PAAD"	"pancreatic"	"Pancreatic Cancer"	"pancreatic cancer"
"prostate"	"Prostate Cancer,Prostate Carcinoma"	"PRAD"	"prostate"	"Prostate Cancer"	"prostate cancer"
"renal"	"Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Renal Carcinoma"	"KIRC"	"renal"	"Renal Cell Carcinoma"	"renal cancer"
"renal"	"Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Renal Carcinoma"	"KIRP"	"renal"		"renal cancer"
"renal"		"KICH"	"renal"		"renal cancer"
"renal"	"Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Renal Carcinoma,Papillary Renal Cell Carcinoma"	"KIPAN"	"renal"	"Kidney cancer"	"renal cancer"
"retinoblastoma"			"retinoblastoma"	"Retinoblastoma"	"retinoblastoma"
"rhabdomyosarcoma"			"rhabdomyo-sarcoma"		"Rhabdomyosarcoma"
"sarcoma"	"Sarcoma"	"SARC"	"sarcoma"	"Breast Sarcoma,Soft Tissue Sarcoma,Uterine Sarcoma"	"sarcoma"
"schwannoma"			"schwannoma"		"schwannoma"
"systemic_mastocytosis"	"Systemic Mastocytosis"		"mastocytosis"	"Mastocytosis"	"mastocytosis"
"thymic"	"Thymic Carcinoma"	"THYM"	"thymic"	"Thymic Tumor"	"thymic carcinoma"
"thymic_lymphoma"		"THYM"	"thymic lymphoma"		"thymic lymphoma"
"thyroid"	"Thyroid Carcinoma,Thyroid Medullary Carcinoma"	"THCA"	"thyroid"	"Thyroid Cancer"	"thyroid cancer"
	"Adrenocortical Carcinoma"	"ACC"	"adrenocortical"	"Adrenocortical Carcinoma"	"adrenocortical"
		"PCPG"	"paraganglioma"		"paraganglioma"
"germ-cell tumor"		"TGCT"	"germ cell"	"Germ Cell Tumor"	"germ cell"
	"Bone Ewing's Sarcoma,Ewing Sarcoma"		"bone ewing sarcoma"	"Bone Cancer"	"bone ewing sarcoma"
"melanoma"	"Malignant Anus Melanoma"		"melanoma"	"Anal Cancer,Melanoma"	"melanoma"
	"Merkel Cell Carcinoma"		"merkel carc."		"merkel carcinoma"
	"Osteosarcoma"		"osteosarcoma"	"Bone Cancer"	"osteosarcoma"
	"Polycythemia Vera"		"Polycythemia vera"		
	"Skin Squamous Cell Carcinoma"		"skin squa."	"Skin Cancer, Non-Melanoma"	"skin carcinoma"
"waldenstrom macroglobulinemia"	"Waldenström's Macroglobulinemia"				
	"Papillary Adenocarcinoma"		"papillary adenocarcinoma"		
	"Myeloid And Lymphoid Neoplasms With Eosinophilia And Abnormalities Of PDGFRA, PDGFRB, And FGFR1"		"myeloid and lymphoid neoplasms"		
	"Sezary's Disease"		"sezary's disease"		
					
	"Pseudomyxoma Peritonei"		"pseudomyxoma peritonei"		
	"Chuvash Polycythemia"		"chuvash polycythemia"		
	"Peutz-Jeghers Syndrome"		"peutz-jeghers syndrome"		
	"Neuroendocrine Tumor"		"neuroendocrine tumor"		
	"Acoustic Neuroma"		"acoustic neuroma"		
	"Scrotum Paget's Disease"		"scrotum paget's disease"		
	"Thyroid Hurthle Cell Carcinoma"		"thyroid hurthle cell carcinoma"		
	"Tuberous Sclerosis"		"tuberous sclerosis"		
	"Lynch Syndrome"		"lynch syndrome"		
	"Epithelioid Hemangioendothelioma"		"epithelioid hemangioendothelioma"		
	"Von Hippel-Lindau Disease"		"von hippel-lindau disease"		
	"Pericytoma"		"pericytoma"		
	"PTEN Harmatoma Tumor Syndrome"		"pten harmatoma tumor syndrome"		
	"Chordoma"		"chordoma"		
	"Neuroendocrine Tumor"		"neuroendocrine tumor"		
	"Desmoid Fibromatosis"		"desmoid fibromatosis"		
